thumbs up, :+1:
thumbs down, :-1: #DOES THIS ONE WORK?
okay hand, :ok_hand:
raised hands, :raised_hands:
pray, :pray:
clap, :clap:
muscle, :muscle:
sweat smile, :sweat_smile:
wink, :wink:
grin, :grin:
yummy, :yum:
sunglasses, :sunglasses:
heart eyes, :heart_eyes:
nerd face, :nerd_face:
cry, :cry:
sob, :sob:
joy, :joy:
blush, :blush,    
slightly smiling face, :slightly_smiling_face:
thinking face, :thinking_face:
raised eyebrow face, :face_with_raised_eyebrow:
relaxed, :relaxed:
expressionless, :expressionless:
weary, :weary:
zany face, :zany_face:
angry, :angry:
cold sweat, :cold_sweat:
innocent, :innocent:
hugging face, :hugging_face:
partying face, :partying_face:
smiling face with three hearts, :smiling_face_with_3_hearts:
money mouth face, :money_mouth_face:
woozy face, :woozy_face:
eyes, :eyes:
star struck, :star-struck:
dancing, :dancer:
man dancing, :man_dancing:
santa, :santa:
female santa, :mrs_claus:
fire, :fire:
sunny, :sunny:
champagne glasses, :clicking_glasses:
champagne, :champagne:
beer, :beer:
rocket, :rocket:
airplane, :airplane:
airplane departure, :airplane_departure:
hammer, :hammer:
tada, :tada:
balloon, :balloon:
checkmark, :white_check_mark:
chart with upwards trend, :chart_with_upwards_trend:
chart with downwards trend, :chart_with_downwards_trend:
