thumbs up, :+1:
thumbs down, :-1:
okay hand, :ok_hand:
raised hands, :raised_hands:
pray, :pray:
clap, :clap:
fingers crossed, :crossed-fingers:
wave, :wave:
muscle, :muscle:
sweat smile, :sweat_smile:
wink, :wink:
grin, :grin:
happy, :grinning:
yummy, :yum:
sunglasses, :sunglasses:
heart eyes, :heart_eyes:
nerd face, :nerd_face:
angry, :angry:
rage, :rage:
swearing, :face_with_symbols_on_mouth:
cry, :cry:
sob, :sob:
pleading, :pleading_face:
worried, :worried:
shushing, :shushing_face:
joy, :joy:
raffle, :rolling_on_the_floor_laughing:
blush, :blush:
unsure, :face_with_diagonal_mouth:
slightly smiling, :slightly_smiling_face:
thinking, :thinking_face:
raised eyebrow, :face_with_raised_eyebrow:
monocle, :face_with_monocle:
relaxed, :relaxed:
flushed, :flushed:
kissing, :kissing_smiling_eyes:
kissing heart, :kissing_heart:
expressionless, :expressionless:
disappointed, :disappointed:
weary, :weary:
sammy, :zany_face:
drooling, :drooling_face:
angry, :angry:
cold sweat, :cold_sweat:
innocent, :innocent:
halo, :innocent:
hugging, :hugging_face:
partying, :partying_face:
smiling three hearts, :smiling_face_with_3_hearts:
smiling with three hearts, :smiling_face_with_3_hearts:
money mouth, :money_mouth_face:
woozy, :woozy_face:
melting, :melting_face:
eyes, :eyes:
star struck, :star-struck:
woman dancing, :dancer:
man dancing, :man-dancing:
santa, :santa:
female santa, :mrs_claus:
man running, :man-running:
man shrugging, :man-shrugging:
fire, :fire:
sunny, :sunny:
gust, :dash:
champagne glasses, :clinking_glasses:
champagne, :champagne:
beer, :beer:
rocket, :rocket:
airplane, :airplane:
airplane departure, :airplane_departure:
hammer, :hammer:
pistol, :gun:
gun, :gun:
tada, :tada:
balloon, :balloon:
gift, :gift:
checkmark, :white_check_mark:
chart with upwards trend, :chart_with_upwards_trend:
chart with downwards trend, :chart_with_downwards_trend:
one hundred, :100:
heart, :heart:
broken heart, :broken_heart:
